edible,stalk-color,cap-color,spore-color,cap-shape,stalk-shape,gill-size,odor
poison,white,brown,brown,knobbed,missing,narrow,musty
poison,white,brown,brown,knobbed,missing,narrow,musty
edible,white,brown,brown,knobbed,missing,broad,musty
edible,white,brown,brown,knobbed,missing,broad,musty
edible,white,brown,brown,knobbed,missing,broad,musty
edible,white,brown,white,knobbed,missing,narrow,musty
edible,white,brown,white,knobbed,missing,narrow,musty
poison,white,brown,white,knobbed,missing,broad,musty
edible,white,brown,brown,bell,missing,narrow,musty
edible,white,brown,brown,bell,missing,narrow,musty
poison,white,brown,brown,bell,missing,broad,musty
poison,white,brown,brown,bell,missing,broad,musty
poison,white,brown,brown,bell,missing,broad,musty
poison,white,brown,white,bell,missing,narrow,musty
poison,white,brown,white,bell,missing,narrow,musty
edible,white,brown,white,bell,missing,broad,musty
